Tarih,Saat,Basinc,Rakim,Sicaklik
6/11/2023,10:32:44,926.39,749.54,15.40
6/11/2023,10:32:51,926.32,750.18,15.41
6/11/2023,10:32:57,926.35,749.84,15.44
6/11/2023,10:33:3,926.31,750.22,15.44
6/11/2023,10:33:9,926.37,749.69,15.46
6/11/2023,10:33:15,926.32,750.12,15.48
6/11/2023,10:33:21,926.37,749.69,15.49
6/11/2023,10:33:27,926.39,749.56,15.50
6/11/2023,10:33:33,926.37,749.67,15.51
6/11/2023,10:33:39,926.43,749.20,15.53
6/11/2023,10:33:45,926.22,751.06,15.53
6/11/2023,10:34:13,767.75,2279.49,42.50
6/11/2023,10:34:19,926.37,749.73,15.51
6/11/2023,10:34:25,926.39,749.47,15.54
6/11/2023,10:34:31,926.47,748.82,15.56
6/11/2023,10:34:37,926.39,749.48,15.58
6/11/2023,10:34:43,926.47,748.81,15.60
6/11/2023,10:34:49,926.50,748.52,15.61
6/11/2023,10:34:55,926.48,748.69,15.63
6/11/2023,10:35:1,926.48,748.73,15.66
6/11/2023,10:35:7,926.50,748.55,15.68
6/11/2023,10:35:13,926.45,748.98,15.70
6/11/2023,10:35:19,926.50,748.54,15.72
6/11/2023,10:35:25,926.52,748.38,15.73
6/11/2023,10:35:31,926.51,748.46,15.75
6/11/2023,10:35:37,926.56,748.00,15.77
6/11/2023,10:35:43,926.47,748.83,15.79
6/11/2023,10:35:49,926.58,747.85,15.81
6/11/2023,10:35:55,926.53,748.23,15.83
6/11/2023,10:36:1,926.55,748.13,15.85
6/11/2023,10:36:7,926.54,748.16,15.87
6/11/2023,10:36:13,926.55,748.06,15.88
6/11/2023,10:36:19,926.62,747.50,15.90
6/11/2023,10:36:25,926.58,747.83,15.92
6/11/2023,10:36:31,926.54,748.14,15.94
6/11/2023,10:36:37,926.45,749.01,15.97
6/11/2023,10:36:43,926.48,748.68,15.98
6/11/2023,10:36:49,926.45,748.97,16.01
6/11/2023,10:36:55,926.53,748.29,16.01
6/11/2023,10:37:1,926.47,748.78,16.02
6/11/2023,10:37:7,926.51,748.49,16.04
6/11/2023,10:37:13,926.51,748.40,16.04
6/11/2023,10:37:19,926.43,749.17,16.04
6/11/2023,10:37:25,926.50,748.57,15.94
6/11/2023,10:37:31,926.50,748.56,15.88
6/11/2023,10:37:37,926.50,748.50,15.88
6/11/2023,10:37:43,926.53,748.30,15.83
6/11/2023,10:37:49,926.45,749.02,15.74
6/11/2023,10:37:56,926.52,748.38,15.76
6/11/2023,10:38:2,926.47,748.81,15.81
6/11/2023,10:38:8,926.51,748.44,15.84
6/11/2023,10:38:14,926.51,748.45,15.89
6/11/2023,10:38:20,926.49,748.61,15.93
6/11/2023,10:38:26,926.59,747.72,15.98
6/11/2023,22:50:26,767.75,2279.49,42.50
6/11/2023,22:50:32,925.17,760.44,6.42
6/11/2023,22:50:38,925.20,760.19,6.44
6/11/2023,22:50:44,925.23,759.94,6.46
6/11/2023,22:50:50,925.23,759.89,6.47
6/11/2023,22:50:56,925.22,760.03,6.47
6/11/2023,22:51:2,925.27,759.55,6.49
6/11/2023,22:51:8,925.27,759.58,6.49
6/11/2023,22:51:14,925.24,759.84,6.50
6/11/2023,22:51:20,925.24,759.79,6.50
6/11/2023,22:51:26,925.18,760.35,6.51
6/11/2023,22:51:32,925.21,760.07,6.51
6/11/2023,22:51:38,925.25,759.74,6.51
6/11/2023,22:51:44,925.21,760.09,6.51
6/11/2023,22:51:50,925.28,759.48,6.51
6/11/2023,22:51:56,925.24,759.85,6.53
6/11/2023,22:52:2,925.21,760.06,6.52
6/11/2023,22:52:8,925.27,759.52,6.54
6/11/2023,22:52:14,925.18,760.32,6.54
6/11/2023,22:52:20,925.19,760.29,6.56
6/11/2023,22:52:26,925.28,759.44,6.58
6/11/2023,22:52:32,925.24,759.79,6.58
6/11/2023,22:52:38,-0.00,nan,42.50
6/11/2023,22:52:44,-0.00,nan,42.50
6/11/2023,22:52:50,-0.00,nan,42.50
6/11/2023,22:52:56,-0.00,nan,42.50
6/11/2023,22:53:2,-0.00,nan,42.50
6/11/2023,22:53:8,-0.00,nan,42.50
6/11/2023,22:53:14,-0.00,nan,42.50
6/11/2023,22:53:20,-0.00,nan,42.50
6/11/2023,22:53:26,-0.00,nan,42.50
6/11/2023,22:53:32,-0.00,nan,42.50
6/11/2023,22:53:38,-0.00,nan,42.50
6/11/2023,22:53:44,-0.00,nan,42.50
6/11/2023,22:53:50,-0.00,nan,42.50
6/11/2023,22:53:56,-0.00,nan,42.50
6/11/2023,22:54:2,-0.00,nan,42.50
6/11/2023,22:54:8,-0.00,nan,42.50
6/11/2023,22:54:14,-0.00,nan,42.50
6/11/2023,22:54:20,-0.00,nan,42.50
6/11/2023,22:54:26,-0.00,nan,42.50
6/11/2023,22:54:32,-0.00,nan,42.50
6/11/2023,22:54:38,-0.00,nan,42.50
6/11/2023,22:54:44,-0.00,nan,42.50
6/11/2023,23:2:4,767.75,2279.49,42.50
6/11/2023,23:2:10,925.97,753.25,7.33
6/11/2023,23:2:16,925.99,753.14,7.39
6/11/2023,23:2:22,926.00,753.01,7.45
6/11/2023,23:2:28,-0.00,nan,42.50
6/11/2023,23:2:34,-0.00,nan,42.50
6/11/2023,23:2:40,-0.00,nan,42.50
6/11/2023,23:2:46,-0.00,nan,42.50
6/11/2023,23:2:52,-0.00,nan,42.50
6/11/2023,23:2:58,-0.00,nan,42.50
6/11/2023,23:3:4,-0.00,nan,42.50
6/11/2023,23:3:10,-0.00,nan,42.50
6/11/2023,23:3:16,-0.00,nan,42.50
6/11/2023,23:3:22,-0.00,nan,42.50
6/11/2023,23:3:28,-0.00,nan,42.50
6/11/2023,23:3:34,-0.00,nan,42.50
6/11/2023,23:3:40,-0.00,nan,42.50
6/11/2023,23:3:46,-0.00,nan,42.50
6/11/2023,23:3:52,-0.00,nan,42.50
6/11/2023,23:3:58,-0.00,nan,42.50
6/11/2023,23:4:4,-0.00,nan,42.50
6/11/2023,23:4:10,-0.00,nan,42.50
6/11/2023,23:4:16,-0.00,nan,42.50
6/11/2023,23:4:22,-0.00,nan,42.50
6/11/2023,23:4:28,-0.00,nan,42.50
6/11/2023,23:4:34,-0.00,nan,42.50
6/11/2023,23:4:40,-0.00,nan,42.50
6/11/2023,23:4:46,-0.00,nan,42.50
6/11/2023,23:4:52,-0.00,nan,42.50
6/11/2023,23:4:58,-0.00,nan,42.50
6/11/2023,23:5:4,-0.00,nan,42.50
6/11/2023,23:5:10,-0.00,nan,42.50
6/11/2023,23:5:16,-0.00,nan,42.50
6/11/2023,23:5:22,-0.00,nan,42.50
6/11/2023,23:5:28,-0.00,nan,42.50
6/11/2023,23:5:34,-0.00,nan,42.50
6/11/2023,23:5:40,-0.00,nan,42.50
